ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_MajorAxisLength,AreaShape_MinorAxisLength,AreaShape_Orientation,Location_Center_X,Location_Center_Y,Location_Center_Z,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50
295,1,65,371.7384615,5.538461538,12.90592327,6.730798867,86.24950343,371.7384615,5.538461538,0,0,0
295,2,90,90.51111111,10.16666667,13.81825128,8.293810316,4.127877838,90.51111111,10.16666667,0,0,0
295,3,177,266.779661,16.4180791,28.03770929,8.118290947,-8.914459073,266.779661,16.4180791,0,0,0
295,4,233,124.0472103,17.54506438,30.53557461,10.00556784,33.54252254,124.0472103,17.54506438,0,0,0
295,5,283,45.48409894,21.27915194,36.09575412,10.04448168,-20.32955672,45.48409894,21.27915194,0,0,0
295,6,147,355.8707483,13.7755102,26.75657605,7.263161009,57.79136926,355.8707483,13.7755102,0,0,0
295,7,257,418.7743191,18.47081712,33.62930595,9.922265943,39.58319945,418.7743191,18.47081712,0,0,0
295,8,141,372.0496454,12.25531915,22.63471924,7.975482486,87.71969754,372.0496454,12.25531915,0,0,0
295,9,297,468.7138047,25.63299663,39.3580715,9.746372243,41.82600107,468.7138047,25.63299663,0,0,0
295,10,127,353.7007874,20.63779528,20.40084655,7.955976066,62.60795282,353.7007874,20.63779528,0,0,0
295,11,382,227.1387435,37.64397906,49.2887003,10.10909348,-22.225944,227.1387435,37.64397906,0,0,0
295,12,170,376.9764706,30.33529412,29.48076512,7.473509608,9.358030393,376.9764706,30.33529412,0,0,0
295,13,80,285.7875,26.6,18.80841515,5.54626176,-14.22980743,285.7875,26.6,0,0,0
295,14,292,53.9760274,35.31164384,36.4399335,10.42617321,-10.95105044,53.9760274,35.31164384,0,0,0
295,15,157,170.866242,26.5477707,22.86042082,8.783781716,-66.95451051,170.866242,26.5477707,0,0,0
295,16,860,199.4744186,56.02906977,73.3959313,16.84040749,-26.69689012,199.4744186,56.02906977,0,0,0
295,17,348,458.1091954,37.37356322,36.86259839,12.17548815,29.58844722,458.1091954,37.37356322,0,0,0
295,18,156,405.0897436,33.6474359,23.57054902,8.470385507,16.91221304,405.0897436,33.6474359,0,0,0
295,19,156,120.2051282,36.34615385,22.394105,8.91646812,5.817953625,120.2051282,36.34615385,0,0,0
295,20,119,414.1092437,36.03361345,19.86917641,8.4035855,23.53233577,414.1092437,36.03361345,0,0,0
295,21,414,143.6521739,45.49758454,48.82406787,11.42394238,-41.10155511,143.6521739,45.49758454,0,0,0
295,22,111,273.1981982,42.51351351,22.35049395,6.617245785,-3.20137512,273.1981982,42.51351351,0,0,0
295,23,209,166.7799043,43.89473684,28.33979345,9.474186356,-18.9165947,166.7799043,43.89473684,0,0,0
295,24,1464,194.3497268,113.0423497,224.3254195,18.28703346,-40.410195,194.3497268,113.0423497,0,0,0
295,25,251,448.5258964,43.09561753,29.75854791,10.86502211,21.42575165,448.5258964,43.09561753,0,0,0
295,26,66,371.9848485,40.01515152,16.49075329,5.442744456,3.968635354,371.9848485,40.01515152,0,0,0
295,27,217,41.92165899,48.53917051,34.12413719,8.363364185,-19.32126774,41.92165899,48.53917051,0,0,0
295,28,398,110.7512563,60.17336683,49.50094075,10.53947176,-10.26335185,110.7512563,60.17336683,0,0,0
295,29,519,149.973025,68.24855491,70.42863092,9.719501913,-15.64285276,149.973025,68.24855491,0,0,0
