ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_MajorAxisLength,AreaShape_MinorAxisLength,AreaShape_Orientation,Location_Center_X,Location_Center_Y,Location_Center_Z,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50
305,1,252,449.7142857,10.18650794,28.17050165,11.4996822,50.04600925,449.7142857,10.18650794,0,0,0
305,2,255,118.9607843,14.99607843,31.22582721,10.72934955,32.30751592,118.9607843,14.99607843,0,0,0
305,3,270,244.9259259,18.51851852,37.84969736,9.323194005,3.76108516,244.9259259,18.51851852,0,0,0
305,4,147,287.2857143,14.59183673,24.58576468,7.666771212,-26.06571975,287.2857143,14.59183673,0,0,0
305,5,299,44.97658863,22.84615385,37.13236089,10.35349969,-20.57035142,44.97658863,22.84615385,0,0,0
305,6,118,329.0254237,16.05932203,20.2756164,7.398042791,2.025223027,329.0254237,16.05932203,0,0,0
305,7,235,374.7234043,24.05106383,35.16839244,8.553913361,-16.99628855,374.7234043,24.05106383,0,0,0
305,8,175,176.8971429,19.13142857,23.98053088,9.438367211,-33.92654758,176.8971429,19.13142857,0,0,0
305,9,273,450.4688645,24.57142857,33.13464794,10.7173892,40.27683669,450.4688645,24.57142857,0,0,0
305,10,141,404.3687943,21.60283688,20.93009358,8.615342458,14.04049274,404.3687943,21.60283688,0,0,0
305,11,332,290.3644578,40.98795181,57.18186374,8.898943883,-4.769394854,290.3644578,40.98795181,0,0,0
305,12,148,419.1418919,23.76351351,25.45438562,7.70699985,-32.88194128,419.1418919,23.76351351,0,0,0
305,13,403,228.4590571,36.73200993,49.51462662,10.56795447,-15.95064581,228.4590571,36.73200993,0,0,0
305,14,279,379.655914,34.06810036,43.44962248,8.271195607,-19.12622585,379.655914,34.06810036,0,0,0
305,15,256,55.0234375,30.84375,33.48253242,9.811758687,-1.052237757,55.0234375,30.84375,0,0,0
305,16,194,110.0721649,29.52061856,25.59734237,9.682876734,-0.288586098,110.0721649,29.52061856,0,0,0
305,17,154,342.9415584,27.71428571,27.2567786,7.358587492,-39.86063509,342.9415584,27.71428571,0,0,0
305,18,605,201.3900826,45.20330579,54.42333668,14.76480621,-30.48002816,201.3900826,45.20330579,0,0,0
305,19,221,348.8733032,39.62443439,41.44916516,6.974786891,-13.856347,348.8733032,39.62443439,0,0,0
305,20,97,394.5051546,29.56701031,17.27235957,7.143992063,28.74944633,394.5051546,29.56701031,0,0,0
305,21,129,364.7054264,33.65116279,24.66254265,6.794118607,-16.29191294,364.7054264,33.65116279,0,0,0
305,22,239,252.2008368,39.76569038,34.82788064,8.828750212,-4.70408254,252.2008368,39.76569038,0,0,0
305,23,130,311.2538462,32.39230769,20.10474615,8.312983296,-21.54392512,311.2538462,32.39230769,0,0,0
305,24,262,441.148855,36.98091603,42.12117937,8.37909632,51.43630669,441.148855,36.98091603,0,0,0
305,25,896,299.8537946,87.87053571,142.1862285,8.800476611,3.454464372,299.8537946,87.87053571,0,0,0
305,26,543,282.8600368,61.27808471,78.86268656,9.279116075,4.075332924,282.8600368,61.27808471,0,0,0
305,27,333,332.2432432,48.47147147,53.42637137,8.380018226,6.522730551,332.2432432,48.47147147,0,0,0
305,28,449,151.2538976,39.70824053,49.74432543,12.16257726,-59.00336856,151.2538976,39.70824053,0,0,0
305,29,127,270.9370079,41.31496063,27.40831395,6.409866709,-18.22567887,270.9370079,41.31496063,0,0,0
305,30,261,386.2720307,45.26819923,37.08093667,9.121712033,-6.054078279,386.2720307,45.26819923,0,0,0
305,31,85,409.8470588,37.49411765,15.39805003,7.058283308,8.61925708,409.8470588,37.49411765,0,0,0
305,32,56,419.7857143,36.94642857,17.81923325,4.748837443,-16.00631577,419.7857143,36.94642857,0,0,0
305,33,222,341.0990991,48.87387387,39.82764285,8.094899028,-8.459454335,341.0990991,48.87387387,0,0,0
305,34,552,43.45652174,67.30615942,78.67660393,12.3792011,-0.178311425,43.45652174,67.30615942,0,0,0
305,35,211,167.4454976,45.92417062,29.43707101,9.254274459,-31.24521966,167.4454976,45.92417062,0,0,0
305,36,186,314.2096774,47.06989247,28.37974525,8.540974832,-14.37460147,314.2096774,47.06989247,0,0,0
305,37,303,392.960396,56.96039604,43.1803422,9.114703686,-6.190033958,392.960396,56.96039604,0,0,0
305,38,98,103.744898,43.5,11.88036538,10.55690952,-0.157510374,103.744898,43.5,0,0,0
305,39,211,506.0189573,44.29383886,27.13849018,9.993906802,-73.55742281,506.0189573,44.29383886,0,0,0
305,40,576,226.6944444,69.97743056,80.13320121,10.75620122,-34.60564273,226.6944444,69.97743056,0,0,0
305,41,536,363.3078358,74.1380597,77.5043854,9.754973982,-6.735575988,363.3078358,74.1380597,0,0,0
305,42,390,110.3897436,62.64871795,48.50559831,10.52918254,-11.88662785,110.3897436,62.64871795,0,0,0
